name,concentration,pharmaceutical_form,pharmaceutical_short_form,presentation
DIURACE,50 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DIURACE,12.5 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DIUREFUR,20 mg/ 2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2mL
DIUREFUR,20 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
DIVA,3 mg + 0.02 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster x 28 Tableta Recubierta
DI-VALPRAX,500 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blíster Tabletas de Liberación Retardada
DIVALPRID 500,500 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blíster Tableta de Liberación Prolongada
DIVELAX,5 mg,Tableta Recubierta de Liberación Retardada,TABLETA,Caja Envase Folio Tableta Recubierta Liberación Retardada
DIVINA 28,0.15 mg + 0.03 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster x 28 Tableta Recubierta
DI-VITERMA®,500 mg,Tableta Recubierta de Liberación Prolongada,TABLETA,Caja Envase Blister Tabletas Recubierta de Liberación Prolongada
DIVONAL,50 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
DIVONAL,50 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DIXI-35,2 mg + 0.035 mg,Comprimido Recubierto,TABLETA,Caja Envase x 21 Blíster Comprimido Recubierto
DIZIMNA,750 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
DIZIMNA,750 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DIZIMNA®,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DIZIMNA®,750 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DIZOLVIN,30 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 120 mL
DIZOLVIN KIDS,15 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 120 mL
D'LIRA,50 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
D'LIRA,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOBELIP-500,500 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsula
DOBELIP-500,500 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
DOBESILATO CALCICO,500 mg,Cápsula,CAPSULA,Caja Envase Blister Capsulas
DOBESILATO CALCICO,500 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOBESILATO DE CALCIO,500 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
DOBESILATO DE CALCIO,500 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOBESIUM,25 µg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOBESIUM,100 mcg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOBESIUM,125 mcg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOBESIUM,75 µg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOBESIUM,50 mcg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOBESIUM,150 mcg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOBEXILAB 500,500 mg,Cápsula,CAPSULA,Caja Envase Blister Capsulas
DOBUSTAT,250 mg,Polvo para Solución para Perfusión,INYECTABLE,Caja Vial
DOBUTAMINA,250 mg/ 20 mL,Solución Inyectable,INYECTABLE,Caja Vial x 20 mL
DOBUTAMINA,250 mg/20 mL,Solución Inyectable,INYECTABLE,Caja Vial x 20 mL
DOCETAXEL,20 mg/0.5 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja vial
DOCETAXEL,80 mg/2 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja vial
DOCETAXEL,20 mg,Solución Inyectable,INYECTABLE,Caja vial
DOCETAXEL,80 mg/2 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja VIAL x 2 mL + Solvente x 6 mL
DOCETAXEL,80 mg/ 2 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 2 mL + Vial (solvente)
DOCETAXEL,20 mg/ 0.5 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 0.5 mL + Vial (solvente)
DOCETAXEL,"20 mg/0,5 mLL",CONCENTRADO PARA SOLUCION INYECTABLE,INYECTABLE,Caja Vial x 2 mL + Diluyente Vial x 6 mL
DOCETAXEL,80 mg/2 mL,CONCENTRADO PARA SOLUCION INYECTABLE,INYECTABLE,Caja Vial x 2 mL + Solvente Vial x 6 mL
DOGMATIL,50 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
D'OLADOL,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL + accesorio
DOLALIVIO,1 %,Gel,JALEA,Caja Tubo x 50 g
DOLALIVIO ANTIGRIPAL DIA,500 mg + 200 mg + 10 mg,Polvo para Solución Oral,SOLUCION,Caja Sobres x 6.5 g
DOLALIVIO ANTIGRIPAL DIA.,500 mg + 200 mg + 10 mg,Polvo para Solución Oral,SOLUCION,Caja Sobres x 6.5 g
DOLALIVIO ANTIGRIPAL DOLALIVIO ANTIGRIPAL NOCHE,,Granulos para Solución Oral,GRANULOS,Caja Sobre x 6.5 g
DOLALIVIO ANTIGRIPAL NOCHE,,Granulos para Solución Oral,GRANULOS,Caja Sobres x 6.5 g
DOLALIVIO ANTIMIGRAÑA,250 mg + 250 mg + 65 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
DOLALIVIO ANTIMIGRAÑA,250 mg + 250 mg + 65 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLALIVIO COLIK,500 mg/ 10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLALIVIO FAST,2 %,Gel,JALEA,Caja Tubo x 50 g
DOLALIVIO RELAX,300 mg + 250 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLAMINE® EXTRA FORTE,500 mg + 150 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
D'OLATOS F,,Jarabe,SOLUCION,Frasco x 120 mL
D'OLATOS PLUS,5 mg + 10 mg + 100 mg/ 5 mL,Jarabe,SOLUCION,Caja Frasco x 120 mL + Accesorio
DOLATRIM,200 mg + 40 mg/5mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL + Accesorio
D'OLATRIM BALSAMICO,200 mg + 40 mg + 75 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco X 100 mL
DOLATRIM FORTE,800 mg + 160 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOLATRIM FORTE,400 mg + 80 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 100 mL + Accesorio
DOLBRAT DUO,50 mg + 500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLCOX,120 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLCOX,90 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLECTRAN,80 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Vial X 2 mL
DOLEX,50 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOLEX PLUS,"325 mg + 37,5 mg",Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLFAMIL CB,400 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas Blandas
DOLFARB,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Frasco x 60 mL
DOLFARB,100 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco X 60 mL
DOLFENEX,9 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
DOLFENEX,50 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLFENEX,1 %,Gel,JALEA,Tubo x 30 g
DOLFENEX B,,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOLFENEX B,,Cápsula,CAPSULA,Caja Envase Blister Cápsula
DOLFENEX SR 100,100 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blister Tabletas
DOLFEVER,500 mg,Tableta,TABLETA,Caja Envase Blister Tableta
DOLFEVER,10 mg/ mL,Solución para Perfusión,INYECTABLE,Caja Frasco x 100 mL
DOLFEVER,1 g,Tableta,TABLETA,Caja Envase Blister Tabletas
DOLFEVER,1 g,Tableta,TABLETA,Caja Envase Blíster Tabletas
DOLGESE,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLGESE,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLGESE,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLIBREX FORTE,400 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
DOLIBREX FORTE,400 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsula
DOLIBREX®,200 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsula
DOLIF,40 mg/mL,Suspensión Oral,SUSPENSION,Caja Frasco Gotero x 15 mL
DOLIF,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
DOLIFEB,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
DOLIFEB,800 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLIFEB,800 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLIFEB,800 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLIMASS,1 %,Gel Tópico,JALEA,Caja Tubo x 50 g
DOLIMASS,1 %,Gel,JALEA,Caja Tubo x 30 g
DOLIN,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLIN C,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco X 60 mL
DOLIN C,100 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco X 60 mL
DOLINEX RETARD,100 mg,Tableta Recubierta de Liberación Retardada,TABLETA,Caja Envase Blister Tabletas
DOLIP,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
DOLIP,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLITO,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL + Accesorio
DOLITO,100 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco X 60 mL
DOLITO,200 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLITO,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
DOLIX,125 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLMACAF®,500 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
DOLMACAF®,10 mg/ mL,Solución para Perfusión,INYECTABLE,Caja Frasco x 100 mL
DOLMACAF®,1 g,Tableta,TABLETA,Caja Envase Blíster Tableta
DOLMACAF®,1 g,Tableta,TABLETA,Caja Envase Blister Tableta
DOLMAX,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLMAX,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLMIFEN,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLMIGRAN,500 mg + 50 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLNIX,10 mg,Comprimido Recubierto,TABLETA,Caja Envase Folio Comprimido Recubierto
DOLNIX,10 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
DOLNIX,10 mg,Comprimido Recubierto,TABLETA,Caja Envase Folio Comprimidos
DOLNIX,60 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
DOLNIX FORTE,25 mg + 10 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOLNIX FORTE,25 mg + 10 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
DOLNIX SL,30 mg,Comprimido Sublingual,TABLETA,Caja Envase Folio Comprimido Sublingual
DOLNIX SL,10 mg,Comprimido Sublingual,TABLETA,Caja Envase Blíster Comprimidos
DOLNIX SL,30 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
DOLNOT,37.5 mg + 325 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
DOLNOT,,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLNOT,,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubiertas
DOLNOT,37.5 mg + 325 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
DOLNOT,37.5 mg + 325 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimidos Recubiertorecubiertos
DOLO - QUIMAGESICO C 50,50 mg + 500 mg,Cápsula,CAPSULA,Caja Envase Folio Cápsula
DOLO 4,100 mg/5mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
DOLO ANEURIN,,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL + Ampolla x 3 mL + Jeringa descartable
DOLO ANEURIN,,Tableta Recubierta,TABLETA,Caja Folio Tabletas Recubiertas
DOLO ANEURIN,,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLO ANEURIN,,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLO ANEURIN,,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL + Ampolla x 3 mL
DOLO ANEURIN,,Solución Inyectable,INYECTABLE,Caja Ampolla I x 1 mL + Ampolla II x 3 mL
DOLO ANEURIN,,Solución Inyectable,INYECTABLE,Caja Ampolla I x 1 mL + Ampolla II x 3 mL + Accesorios
DOLO ANEURIN,,Tableta Recubierta,TABLETA,Caja Envase Folio Tabletas Recubiertas
DOLO BENALGIN,,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL + Ampolla x 2 mL
DOLO BENALGIN FORTE,50 mg + 50 mg + 50 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLO CALM EXTRA FORTE,50 mg + 500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLO DINAFLEX,,Granulos de Liberación Prolongada,GRANULOS,Caja Sobre X 4 g
DOLO FISIOFLEX FORTE,,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
DOLO G&R,500 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
DOLO INDUFLAM FORTE,500 mg + 50 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLO INDUFLAM FORTE,,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLO KIT,100 mg/5 mL,Solución Oral,SOLUCION,Caja Frasco x 60 mL
DOLO LIVIOLEX,75 mg/3 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 3 mL + Accesorios
DOLO LIVIOLEX FORTE,2 %,Gel,JALEA,Caja Tubo x 50 g
DOLO LIVIOLEX FORTE,2 %,Gel,JALEA,Caja Tubo X 30 g
DOLO LIVIOLEX PEDIATRICO SABOR A UVA,9 mg /5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
DOLO LIVIOLEX PEDIATRICO(SABOR UVA),9 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
DOLO NEUROBION,,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOLO NEUROBION FORTE,,Tableta,TABLETA,Caja Frasco Tabletas
DOLO NEUROBION FORTE,,Tableta,TABLETA,Caja Envase Blíster Tabletas
DOLO NEUROBION FORTE,,Solución Inyectable,INYECTABLE,Caja Jeringa prellenada doble cámara x 3 mL + Accesorio
DOLO NEUROBION FORTE,,Tableta,TABLETA,Caja Envase Blister Tabletas
DOLO NEUROBION FORTE,,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL + Ampolla x 1 mL
DOLO NEUROBION FORTE,,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
DOLO NEUROPRESS FORTE,,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLO NEUROVIT,,Cápsula,CAPSULA,Caja Envase Folio Cápsula
DOLO NEUROVIT,,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOLO QUIMAGESICO,1 %,Solución Tópica,SOLUCION,Frasco atomizador x 85 mL
DOLO QUIMAGESICO,1 %,Gel,JALEA,Caja Tubo X 20 g
DOLO QUIMAGESICO C 50,,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOLO QUIMAGESICO FLEX,,Cápsula,CAPSULA,Caja Envase Folio Cápsulas
DOLO QUIMAGESICO SR,100 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blister Tabletas
DOLO QUIMAGESICO SR,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLO QUIMAGESICO VIT,,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOLO QUIMAGESICO VIT,,Solución Inyectable,INYECTABLE,Caja Ampolla (N° 1 + N° 2)
DOLO QUIMAGESICO VIT,,Solución Inyectable,INYECTABLE,Caja Ampolla (N° 1 + N° 2) + Accesorios
DOLO QUIMAGESICO VIT,,Solución Inyectable,INYECTABLE,Caja Ampolla Nº 1 x 1 mL + Ampolla Nº 2 x 2 mL
DOLO TANDERIL,75mg/3mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 3 mL
DOLO TANDERIL,75 mg/ 3 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 3 mL
DOLO TENSODOX,5 mg + 15 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLO TENSODOX,5 mg + 15 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLO TERALGEX PLUS,500 mg + 150 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLOACEMIFEN,500 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
DOLOACEMIFEN,120 mg/5 mL,Solución Oral,SOLUCION,Frasco X 60 mL
DOLOACEMIFEN,500 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOLOALIVIO ANTIGRIPAL NOCHE X 60 SOBRES,,Granulos para Solución Oral,GRANULOS,Caja Sobre x 6.5 g
DOLOAPROXOL DUAL FORTE,50 mg + 500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimidos Recubiertos
DOLOAPROXOL DUAL FORTE,,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
DOLOAPROXOL® DUAL FORTE NF,500 mg + 150 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimidos Recubiertos
DOLOAPROXOL® DUAL FORTE NF,500 mg + 150 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
DOLOBAY,100 mg/5mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL + accesorio
DOLOBAY 400,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLOBAY KIDS,100 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco X 60 mL
DOLOBRATIN,100 mg/5mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL + Accesorio
DOLOCAM,15 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
DOLOCAP,400 mg,Cápsula Blanda,CAPSULA,Caja Envase Blíster Cápsulas Blandas
DOLOCAP 200,200 mg,Cápsula Blanda,CAPSULA,Caja Envase Blíster Cápsulas Blandas
DOLOCHECK PLUS,400 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas Blandas
DOLOCLERC F,,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLOCOM,1 %,Gel,JALEA,Caja Tubo 20 g
DOLOCOM,1 %,Gel,JALEA,Caja Tubo x 50 g
DOLOCORDRALAN,1 %,Gel,JALEA,Caja Tubo x 30 g
DOLOCORDRALAN,100 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blíster Tableta de Liberación Prolongada
DOLOCORDRALAN,75 mg/ 3 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 3 mL
DOLOCORDRALAN,100 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blister Tabletas de Liberación Prolongada
DOLOCORDRALAN,325 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLOCORDRALAN,1 %,Gel,JALEA,Caja Tubo x 50 g
DOLOCORDRALAN 50,50 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blíster Tableta Retardad
DOLOCORDRALAN 50,50 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blíster Tableta de Liberación Retardada
DOLOCORDRALAN EXTRA FORTE,500 mg + 50 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLOCORDRALAN FORTE 2%,2 %,Gel,JALEA,Caja Tubo x 50 g
DOLOCORT,1%,Gel,JALEA,Tubo x 30 g
DOLOCORT PLUS,2 %,Gel,JALEA,Caja Tubo x 50 g
DOLOCOXIB,200 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
DOLODIC CREMAGEL,1%,Gel,JALEA,Caja Tubo x 50 g
DOLODIC CREMAGEL,1 %,Gel,JALEA,Caja Tubo x 50 g
DOLODIC RETARD,100 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blíster Tabletas de Liberación Prolongada
DOLODIC RETARD,100 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blister Tabletas
DOLODIF KIDS,100 mg/mL,Suspensión Oral,SUSPENSION,Frasco X 60 mL
DOLODIF KIDS,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL + Accesorio
DOLO-DINAFLEX,1500 mg + 15 mg,Granulos para Solución Oral,GRANULOS,Caja Sobre x 4 g
DOLODOC EXTRA FORTE,50 mg + 500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLODRAN,1%,Gel,JALEA,Caja tubo x 50 g
DOLODYP,50 mg + 500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLOFAC,10 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimidos Recubierto
DOLOFARMALAN,0.1 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5 mL
DOLOFARMALAN,75 mg/3 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 3 mL
DOLOFARMALAN® FAST,25 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas Blanda
DOLOFAST,100 mg,Tableta Recubierta de Liberación Prolongada,TABLETA,Caja Envase Blíster Tabletas con Cubierta Entérica
DOLOFAST,100 mg,Tableta Recubierta de Liberación Prolongada,TABLETA,Caja Envase Blister Tabletas
DOLOFAST PRE,100 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Jeringa prellenada x 2 mL
DOLOFEN 500MG,500 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsula
DOLOFENAC,75 mg/3 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 3 mL
DOLOFENAC,75 mg/3 mL,Solución Inyectable,INYECTABLE,Ampolla X 3 mL
DOLOFINALDOL,1 %,Gel,JALEA,Caja Tubo x 20 g
DOLOFINALDOL,2 %,Gel,JALEA,Caja Tubo x 20 g
DOLOFLAM,200 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOLOFLAM EXTRAFORTE,400 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOLOFLAM EXTRAFORTE,400 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
DOLOFLASH FORTE,50 mg + 500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLOFLEXIMAXS EXTRA FORTE,50 mg + 500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLOFOR 600 DOL,600 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLOFOR 600 DOL,600 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLOFOR 800 DOL,800 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLOFREN,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLOGINA,550 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
DOLOGINA MUJER,275 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLOGINA®,550 mg,Tableta,TABLETA,Caja Envase Blister Tabletas Recubiertas
DOLOGRUP EXTRA FORTE,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLOIBUPRESS FORTE,200 mg + 500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLOKETAL,10 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
DOLOKID S,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
DOLOKID'S,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
DOLOL,100 mg/ mL,Solución Oral,SOLUCION,Frasco Gotero x 15 mL
DOLOL,160 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 60 mL
DOLOL,500 mg,Tableta,TABLETA,Caja Envase Sobre x 2 Tabletas
DOLOL,500 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
DOLOL,100 mg/ mL,Solución Oral,SOLUCION,Caja Frasco Gotero x 15 mL
DOLOL FORTE,500 mg + 65 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLOL® ANTIGRIPAL NF,250 mg + 5 mg + 100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLOMARKET PLUS,500 mg + 150 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLOMAX,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco X 60 mL
DOLOMAX,400 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas Blandas
DOLOMAX,400 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOLOMAX,200 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOLOMAX,40 mg/mL,Suspensión Oral,SUSPENSION,Frasco Gotero X 20 mL
DOLOMAX PLUS,,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLOMECAB,200 mg + 250 mg + 65 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLOMECAB,200 mg + 250 mg + 65 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLOMEJORAL,550 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
DOLOMEJORAL,275 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
DOLOMELID COMPUESTO,500 mg/10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLOMES,275 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLOMES FEM,275 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLOMES FEM,275 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLOMIL,100 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco x 60 mL
DOLOMIL FORTE,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
